System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
59 10000.00 1434.68 97.537996 0.9957055093661142 0.996210 -1156509.816713 281.347131 34.995223 152.660265 -136.118366 2565.821234 -5.378 0.000 2.785769 3.157988 1.064 n/a n/a
57 8944.44 1405.81 95.140716 0.9958610988181461 0.996359 -1134615.497437 272.109496 34.206591 148.624444 -139.147925 2502.657379 -5.682 0.000 2.779965 3.161994 1.164 n/a n/a
60 10000.00 1432.68 97.121252 0.9957272133108092 0.996229 -1151707.612352 279.957420 34.840433 151.957808 -135.615967 2555.036440 -5.394 0.000 2.786197 3.158745 1.072 n/a n/a
58 8944.44 1403.81 94.749066 0.9958806345719863 0.996377 -1130089.390732 270.804863 34.060834 147.965247 -138.656587 2492.537323 -5.698 0.000 2.780375 3.162758 1.172 n/a n/a
61 10000.00 1430.67 96.708406 0.9957485918962588 0.996248 -1146951.841193 278.580447 34.687105 151.262083 -135.118291 2544.353832 -5.410 0.000 2.786623 3.159503 1.080 n/a n/a
59 8944.44 1401.81 94.360888 0.9958998541341688 0.996394 -1125604.869435 269.511568 33.916383 147.312056 -138.169616 2482.508381 -5.715 0.000 2.780782 3.163524 1.180 n/a n/a
62 10000.00 1428.67 96.299392 0.9957696468331595 0.996267 -1142241.716044 277.215999 34.535214 150.572976 -134.625260 2533.771725 -5.426 0.000 2.787047 3.160264 1.088 n/a n/a
60 8944.44 1399.81 93.976123 0.9959187577136623 0.996411 -1121161.223664 268.229422 33.773217 146.664768 -137.686937 2472.569046 -5.732 0.000 2.781189 3.164293 1.189 n/a n/a
63 10000.00 1426.67 95.894144 0.9957903796202847 0.996286 -1137576.462873 275.863869 34.384736 149.890377 -134.136797 2523.288463 -5.442 0.000 2.787471 3.161026 1.096 n/a n/a
64 10000.00 1424.67 95.492599 0.9958107915406502 0.996304 -1132955.320314 274.523851 34.235647 149.214176 -133.652825 2512.902417 -5.458 0.000 2.787892 3.161790 1.104 n/a n/a
61 8944.44 1397.81 93.594713 0.9959373452538728 0.996428 -1116757.753554 266.958240 33.631313 146.023284 -137.208480 2462.717833 -5.749 0.000 2.781594 3.165063 1.197 n/a n/a
65 10000.00 1422.66 95.094695 0.9958308836500044 0.996322 -1128377.539191 273.195745 34.087924 148.544265 -133.173269 2502.611986 -5.474 0.000 2.788312 3.162556 1.112 n/a n/a
62 8944.44 1395.81 93.216599 0.9959556164241938 0.996444 -1112393.768782 265.697838 33.490651 145.387505 -136.734171 2452.953280 -5.765 0.000 2.781997 3.165836 1.205 n/a n/a
63 8944.44 1393.82 92.841724 0.9959735705981366 0.996460 -1108068.588097 264.448036 33.351208 144.757334 -136.263943 2443.273942 -5.782 0.000 2.782399 3.166610 1.213 n/a n/a
66 10000.00 1420.66 94.700368 0.9958506567792728 0.996340 -1123842.382036 271.879352 33.941544 147.880539 -132.698055 2492.415596 -5.491 0.000 2.788731 3.163324 1.120 n/a n/a
64 8944.44 1391.82 92.470033 0.9959912068517071 0.996476 -1103781.538829 263.208654 33.212964 144.132676 -135.797725 2433.678397 -5.799 0.000 2.782800 3.167387 1.221 n/a n/a
67 10000.00 1418.66 94.309557 0.9958701115136149 0.996358 -1119349.122617 270.574477 33.796484 147.222894 -132.227111 2482.311697 -5.507 0.000 2.789148 3.164094 1.128 n/a n/a
