System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
25 4000.00 1328.00 100.207828 0.9996495178016471 0.998578 -1195707.245392 287.738610 37.542288 153.638589 -206.790071 3174.888119 -5.700 0.000 2.672064 0.657670 1.370 n/a n/a
25 4000.00 1328.00 100.207520 0.9981313440865364 0.992451 -1194992.342405 288.075215 37.713476 153.553577 -237.447070 3250.307306 -5.700 0.000 2.672282 0.657729 1.371 n/a n/a
25 4000.00 1328.00 100.142753 0.9981873287576370 0.992670 -1194092.739976 287.930619 37.652435 153.223641 -235.372660 3224.842031 -6.700 0.000 2.674444 0.657755 1.370 n/a n/a
26 4000.00 1325.00 100.063316 0.9997797181422009 0.999105 -1194151.209348 287.102659 37.396415 152.894302 -202.122925 3117.987642 -8.729 0.000 2.677554 0.658449 1.378 n/a n/a
26 4000.00 1325.00 100.143070 0.9997049889313289 0.998803 -1195267.713299 287.306537 37.471933 153.298277 -204.769869 3149.468642 -6.729 0.000 2.674897 0.658414 1.380 n/a n/a
26 4000.00 1325.00 100.096016 0.9997485172703453 0.998979 -1194610.008749 287.190810 37.427435 153.059907 -203.218781 3130.909523 -7.729 0.000 2.676464 0.658435 1.379 n/a n/a
26 4000.00 1325.00 100.207970 0.9996479137448562 0.998572 -1196170.122908 287.450788 37.533019 153.627232 -206.853159 3174.992194 -5.729 0.000 2.672738 0.658387 1.380 n/a n/a
26 4000.00 1325.00 100.142859 0.9981858821427043 0.992671 -1194553.814839 287.643558 37.642970 153.166031 -235.373996 3224.970020 -6.729 0.000 2.675114 0.658472 1.380 n/a n/a
27 4000.00 1322.00 100.063368 0.9997783907687172 0.999100 -1194610.595043 286.815548 37.387214 152.872787 -202.165475 3118.047459 -8.757 0.000 2.678223 0.659172 1.389 n/a n/a
27 4000.00 1322.00 100.143178 0.9997035142960438 0.998798 -1195729.078513 287.018777 37.462699 153.269847 -204.823588 3149.555101 -6.757 0.000 2.675568 0.659136 1.390 n/a n/a
27 4000.00 1322.00 100.096093 0.9997471254238983 0.998974 -1195070.226000 286.903439 37.418222 153.035518 -203.265990 3130.980878 -7.757 0.000 2.677134 0.659157 1.389 n/a n/a
27 4000.00 1322.00 100.208116 0.9996463425129255 0.998567 -1196632.978803 287.162465 37.523749 153.593452 -206.915525 3175.096618 -5.757 0.000 2.673411 0.659109 1.391 n/a n/a
27 4000.00 1322.00 100.063274 0.9982581317665697 0.992960 -1193897.770030 287.153225 37.558117 152.599309 -232.716221 3193.641305 -8.757 0.000 2.678439 0.659230 1.390 n/a n/a
27 4000.00 1322.00 100.142966 0.9981844791489319 0.992671 -1195014.619015 287.356147 37.633501 152.994822 -235.374193 3225.098434 -6.757 0.000 2.675785 0.659194 1.391 n/a n/a
28 4000.00 1319.00 100.063421 0.9997771686419799 0.999096 -1195069.809898 286.528014 37.378006 152.702943 -202.205860 3118.105216 -8.785 0.000 2.678892 0.659903 1.399 n/a n/a
28 4000.00 1319.00 100.143288 0.9997021425413128 0.998793 -1196190.225860 286.730632 37.453458 153.042254 -204.875184 3149.640012 -6.785 0.000 2.676240 0.659867 1.400 n/a n/a
28 4000.00 1319.00 100.096170 0.9997458377792207 0.998969 -1195530.253160 286.615662 37.409002 152.841634 -203.311053 3131.050396 -7.785 0.000 2.677804 0.659888 1.400 n/a n/a
28 4000.00 1319.00 100.208263 0.9996448725083729 0.998562 -1197095.578748 286.873788 37.514473 153.321382 -206.975793 3175.199842 -5.785 0.000 2.674085 0.659840 1.401 n/a n/a
28 4000.00 1319.00 100.143076 0.9981832030915750 0.992672 -1195473.969294 287.069129 37.624022 151.617815 -235.371343 3225.226179 -6.785 0.000 2.676456 0.659925 1.401 n/a n/a
29 4000.00 1316.00 100.063475 0.9997768239231977 0.999095 -1195529.421794 286.239697 37.368726 153.121268 -202.228799 3118.142427 -8.814 0.000 2.679559 0.660692 1.410 n/a n/a
29 4000.00 1316.00 100.143400 0.9997016363559906 0.998792 -1196651.919093 286.441620 37.444148 153.604620 -204.909401 3149.705609 -6.814 0.000 2.676909 0.660655 1.411 n/a n/a
29 4000.00 1316.00 100.096250 0.9997454225922290 0.998969 -1195990.739668 286.327067 37.399711 153.319942 -203.338699 3131.099888 -7.814 0.000 2.678472 0.660677 1.410 n/a n/a
29 4000.00 1316.00 100.208414 0.9996442592587692 0.998561 -1197558.837259 286.584177 37.505129 153.994572 -207.018726 3175.284646 -5.814 0.000 2.674757 0.660628 1.412 n/a n/a
29 4000.00 1316.00 100.096107 0.9982260373519888 0.992847 -1195276.309190 286.665187 37.570077 154.737226 -233.773797 3206.765245 -7.814 0.000 2.678685 0.660734 1.411 n/a n/a
29 4000.00 1316.00 100.143188 0.9981829732656675 0.992678 -1195936.519528 286.779568 37.614454 155.024586 -235.344405 3225.341030 -6.814 0.000 2.677123 0.660713 1.411 n/a n/a
29 4000.00 1316.00 100.208106 0.9981265925556563 0.992458 -1196842.106626 286.921909 37.675354 155.417948 -237.453457 3250.879061 -5.814 0.000 2.674970 0.660686 1.412 n/a n/a
30 4000.00 1313.00 100.063530 0.9997754776272508 0.999091 -1195989.152795 285.950773 37.359529 152.938935 -202.271529 3118.204097 -8.842 0.000 2.680229 0.661421 1.420 n/a n/a
30 4000.00 1313.00 100.143513 0.9997001396414228 0.998787 -1197113.782194 286.151979 37.434919 153.360132 -204.963410 3149.795178 -6.842 0.000 2.677582 0.661385 1.421 n/a n/a
30 4000.00 1313.00 100.143302 0.9981815529311944 0.992679 -1196399.906460 286.488966 37.604990 153.545109 -235.344628 3225.473031 -6.842 0.000 2.677794 0.661442 1.422 n/a n/a
30 4000.00 1313.00 100.208259 0.9981250741479812 0.992458 -1197307.097729 286.630688 37.665855 153.887242 -237.462394 3251.029744 -5.842 0.000 2.675644 0.661415 1.423 n/a n/a
30 4000.00 1313.00 100.063436 0.9982556650615758 0.992969 -1195276.919002 286.288065 37.529700 153.123807 -232.652911 3193.932874 -8.842 0.000 2.680442 0.661478 1.421 n/a n/a
31 4000.00 1310.00 100.063586 0.9997740252024782 0.999086 -1196448.723952 285.661415 37.350340 152.921179 -202.316276 3118.268783 -8.871 0.000 2.680900 0.662147 1.430 n/a n/a
31 4000.00 1310.00 100.143629 0.9996985368377755 0.998782 -1197575.441794 285.861940 37.425700 153.336768 -205.019473 3149.888096 -6.871 0.000 2.678255 0.662111 1.432 n/a n/a
31 4000.00 1310.00 100.096270 0.9982232402484591 0.992848 -1196199.249291 286.085168 37.551199 153.159912 -233.763794 3207.000330 -7.871 0.000 2.680026 0.662189 1.432 n/a n/a
31 4000.00 1310.00 100.143417 0.9981800078162650 0.992679 -1196861.906203 286.198710 37.595538 153.404844 -235.347565 3225.607754 -6.871 0.000 2.678467 0.662168 1.432 n/a n/a
31 4000.00 1310.00 100.208723 0.9996409636135035 0.998550 -1198485.529026 286.003291 37.486614 153.674511 -207.146239 3175.504902 -5.871 0.000 2.676106 0.662083 1.432 n/a n/a
31 4000.00 1310.00 100.096412 0.9997424919808351 0.998959 -1196911.816204 285.748225 37.381303 153.091646 -203.435610 3131.250569 -7.871 0.000 2.679814 0.662132 1.431 n/a n/a
31 4000.00 1310.00 100.208414 0.9981234314563231 0.992458 -1197770.662847 286.339844 37.656369 153.742309 -237.474061 3251.183344 -5.871 0.000 2.676319 0.662141 1.433 n/a n/a
31 4000.00 1310.00 100.063492 0.9982542698242840 0.992969 -1195736.832121 285.998490 37.520277 152.989574 -232.644528 3194.039512 -8.871 0.000 2.681112 0.662204 1.431 n/a n/a
32 4000.00 1307.00 100.063643 0.9997725276471395 0.999080 -1196908.279946 285.371528 37.341155 152.915447 -202.361830 3118.335028 -8.900 0.000 2.681571 0.662874 1.441 n/a n/a
32 4000.00 1307.00 100.096353 0.9982217275534696 0.992848 -1196659.831526 285.794919 37.541771 153.118272 -233.761159 3207.120668 -7.900 0.000 2.680698 0.662915 1.442 n/a n/a
32 4000.00 1307.00 100.096495 0.9997409281767119 0.998953 -1197372.253462 285.458069 37.372108 153.085305 -203.485906 3131.329220 -7.900 0.000 2.680486 0.662858 1.441 n/a n/a
32 4000.00 1307.00 100.143535 0.9981784106867513 0.992678 -1197323.700483 285.908055 37.586091 153.362261 -235.351543 3225.744219 -6.900 0.000 2.679140 0.662894 1.443 n/a n/a
33 4000.00 1304.00 100.063701 0.9997709998807899 0.999075 -1197367.839229 285.081100 37.331973 152.912655 -202.407893 3118.402479 -8.929 0.000 2.682243 0.663601 1.451 n/a n/a
32 4000.00 1307.00 100.208573 0.9981217365499471 0.992458 -1198234.024820 286.048605 37.646889 153.698461 -237.486791 3251.338931 -5.900 0.000 2.676993 0.662866 1.444 n/a n/a
