Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
50 10000.00 1328.34 83.775971 48.957 0.653272 16.7804 0.510088 0 7.34892 11.6338 11.9585 1.76686 0.0956233 0 0.239058
55 1000.00 1294.53 93.351990 49.3078 0.611427 15.6075 0.549685 0 6.98965 12.4338 12.5422 1.60902 0.0858143 0 0.214536
55 4000.00 1305.39 92.246310 49.4142 0.618755 15.7945 0.531206 0 6.9681 12.012 12.6896 1.6283 0.0868428 0 0.217107
53 7000.00 1314.51 91.149946 49.5223 0.626198 15.9845 0.515489 0 6.93996 11.5843 12.8402 1.64789 0.0878874 0 0.219718
56 1000.00 1292.52 93.061086 49.3347 0.613338 15.6563 0.55021 0 6.9834 12.3212 12.5797 1.61405 0.0860825 0 0.215206
52 10000.00 1324.34 81.847037 48.8862 0.6619 17.0359 0.512377 0 7.42284 11.4539 11.8241 1.8024 0.0978769 0 0.24469257
57 4000.00 1301.40 91.697069 49.4666 0.622461 15.8891 0.532037 0 6.95357 11.7947 12.7626 1.63806 0.087363 0 0.2184083
55 7000.00 1310.50 90.625079 49.5739 0.629824 16.0771 0.516156 0 6.92368 11.3727 12.9119 1.65743 0.0883964 0 0.2209914
58 4000.00 1299.41 91.427245 49.4926 0.624298 15.936 0.532442 0 6.94614 11.6871 12.7988 1.64289 0.0876208 0 0.219052
58 1000.00 1288.52 92.489649 49.3881 0.617127 15.753 0.551238 0 6.97053 12.098 12.654 1.62402 0.0866144 0 0.21653622
54 10000.00 1320.33 79.983798 48.8183 0.670252 17.289 0.514568 0 7.49593 11.2757 11.6883 1.83807 0.100157 0 0.250392
59 4000.00 1297.41 91.160555 49.5185 0.626125 15.9827 0.53284 0 6.93859 11.5802 12.8348 1.6477 0.0878772 0 0.219693
59 1000.00 1286.51 92.209005 49.4145 0.619006 15.8009 0.551742 0 6.9639 11.9875 12.6909 1.62896 0.086878 0 0.21719549
55 10000.00 1318.33 79.075516 48.7856 0.674321 17.4148 0.515627 0 7.53217 11.1872 11.6199 1.85597 0.101307 0 0.253268
60 4000.00 1295.41 90.896955 49.5442 0.627941 16.029 0.533232 0 6.93092 11.4739 12.8706 1.65248 0.088132 0 0.22033
60 1000.00 1284.51 91.931673 49.4409 0.620873 15.8486 0.552238 0 6.95716 11.8776 12.7275 1.63388 0.0871401 0 0.217852
56 10000.00 1316.33 78.182144 48.7535 0.67832 17.5399 0.516663 0 7.56821 11.0992 11.5511 1.8739 0.102465 0 0.256162
61 4000.00 1293.42 90.636398 49.5698 0.629746 16.0751 0.533617 0 6.92315 11.3683 12.9061 1.65723 0.0883854 0 0.220963
61 1000.00 1282.51 91.657601 49.467 0.622729 15.896 0.552727 0 6.9503 11.7685 12.7639 1.63876 0.0874006 0 0.2185021
57 10000.00 1314.33 77.303225 48.7222 0.682246 17.6645 0.517676 0 7.60405 11.0116 11.4819 1.89187 0.10363 0 0.259075
62 4000.00 1291.42 90.378844 49.5953 0.63154 16.1209 0.533996 0 6.91526 11.2634 12.9415 1.66195 0.0886372 0 0.221593
60 7000.00 1300.49 89.364964 49.7004 0.638705 16.3038 0.517712 0 6.88115 10.8555 13.0875 1.6808 0.0896429 0 0.224107
58 10000.00 1312.32 76.438322 48.6917 0.686099 17.7886 0.518665 0 7.63969 10.9243 11.4123 1.90989 0.104803 0 0.262006
63 4000.00 1289.43 90.124248 49.6206 0.633324 16.1664 0.534368 0 6.90727 11.1592 12.9767 1.66664 0.0888876 0 0.222219
63 1000.00 1278.50 91.119045 49.519 0.62641 15.9899 0.553685 0 6.93621 11.5522 12.8362 1.64845 0.0879172 0 0.2197939
59 10000.00 1310.32 75.587015 48.662 0.689879 17.912 0.519631 0 7.67514 10.8375 11.3423 1.92795 0.105983 0 0.264957
64 4000.00 1287.43 89.872572 49.6458 0.635098 16.2117 0.534734 0 6.89917 11.0557 13.0116 1.67131 0.0891366 0 0.222841
64 1000.00 1276.50 90.854466 49.5447 0.628234 16.0365 0.554154 0 6.92899 11.4451 12.872 1.65325 0.0881732 0 0.2204338
60 10000.00 1308.32 74.748903 48.633 0.693585 18.035 0.520574 0 7.7104 10.751 11.2719 1.94606 0.107171 0 0.267928
65 4000.00 1285.43 89.623774 49.6709 0.636861 16.2567 0.535094 0 6.89097 10.9528 13.0464 1.67595 0.089384 0 0.22346
65 1000.00 1274.49 90.592958 49.5704 0.630048 16.0828 0.554616 0 6.92166 11.3387 12.9076 1.65802 0.0884277 0 0.221069
61 10000.00 1306.32 73.923604 48.6049 0.697216 18.1574 0.521494 0 7.74547 10.665 11.201 1.96422 0.108368 0 0.270919
66 4000.00 1283.44 89.377817 49.6958 0.638614 16.3015 0.535447 0 6.88266 10.8506 13.0809 1.68056 0.08963 0 0.224075
64 7000.00 1292.47 88.407799 49.7993 0.64562 16.4803 0.518847 0 6.84531 10.4542 13.2244 1.699 0.0906134 0 0.226533
66 1000.00 1272.49 90.334479 49.5958 0.63185 16.1288 0.555071 0 6.91421 11.233 12.943 1.66276 0.0886808 0 0.221702
62 10000.00 1304.32 73.110752 48.5775 0.700771 18.2793 0.522392 0 7.78035 10.5792 11.1298 1.98242 0.109573 0 0.273931
67 4000.00 1281.44 89.134663 49.7206 0.640356 16.3459 0.535794 0 6.87424 10.7491 13.1153 1.68515 0.0898745 0 0.224686
65 7000.00 1290.47 88.175274 49.8236 0.647323 16.5238 0.519116 0 6.83611 10.3555 13.2581 1.70348 0.0908524 0 0.227131
67 1000.00 1270.49 90.078985 49.6212 0.633643 16.1746 0.55552 0 6.90665 11.1279 12.9782 1.66748 0.0889323 0 0.222331
63 10000.00 1302.31 72.309995 48.5509 0.704251 18.4006 0.523268 0 7.81503 10.4939 11.0581 2.00068 0.110786 0 0.276965
68 4000.00 1279.45 88.894275 49.7453 0.642087 16.3901 0.536135 0 6.86573 10.6483 13.1494 1.6897 0.0901175 0 0.225294
66 7000.00 1288.47 87.945388 49.8479 0.649015 16.567 0.51938 0 6.82681 10.2576 13.2916 1.70793 0.0910898 0 0.227725
64 10000.00 1300.31 71.520999 48.5251 0.707653 18.5214 0.524121 0 7.84953 10.4089 10.9861 2.01899 0.112008 0 0.28002
