Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
36 1000.00 1332.60 99.999814 48.7366 0.57078 14.5699 0.536269 0 7.08751 14.8303 11.746 1.50205 0.0801095 0 0.200274
30 10000.00 1368.38 97.152512 48.9755 0.587508 14.9969 0.492534 0 7.08729 13.8533 12.0771 1.54607 0.0824573 0 0.206143
37 1000.00 1330.59 99.633498 48.7661 0.572878 14.6235 0.536909 0 7.08414 14.7067 11.7871 1.50757 0.080404 0 0.20101
33 7000.00 1354.57 97.494491 48.9455 0.585447 14.9443 0.50556 0 7.08389 13.9721 12.0353 1.54065 0.082168 0 0.20542
34 4000.00 1347.31 99.264743 48.797 0.575007 14.6778 0.518845 0 7.09621 14.583 11.8291 1.51318 0.0807027 0 0.201757
31 10000.00 1366.38 96.816340 49.0044 0.589548 15.049 0.492973 0 7.08126 13.7338 12.1175 1.55144 0.0827436 0 0.206859
38 1000.00 1328.59 99.262501 48.7962 0.57502 14.6781 0.537593 0 7.08051 14.5806 11.829 1.51321 0.0807045 0 0.201761
34 7000.00 1352.57 97.153369 48.9745 0.587503 14.9968 0.50605 0 7.07835 13.8516 12.0759 1.54606 0.0824565 0 0.206141
35 4000.00 1345.32 98.901035 48.8269 0.577121 14.7318 0.519435 0 7.09184 14.4588 11.8706 1.51874 0.0809995 0 0.202499
32 10000.00 1364.38 96.484455 49.0332 0.591576 15.1008 0.493403 0 7.0751 13.615 12.1577 1.55678 0.0830282 0 0.207571
39 1000.00 1326.59 98.896566 48.8262 0.577147 14.7324 0.538269 0 7.07672 14.4553 11.8706 1.51881 0.0810031 0 0.202508
35 7000.00 1350.57 96.816628 49.0034 0.589546 15.0489 0.506532 0 7.07267 13.7317 12.1162 1.55144 0.0827433 0 0.206858
36 4000.00 1343.32 98.542189 48.8565 0.579223 14.7854 0.520017 0 7.08733 14.3354 11.9119 1.52427 0.0812944 0 0.2032368
40 1000.00 1324.58 98.535575 48.8559 0.579262 14.7864 0.538935 0 7.07278 14.3307 11.912 1.52437 0.0812999 0 0.20325
36 7000.00 1348.56 96.484183 49.0321 0.591578 15.1008 0.507007 0 7.06685 13.6125 12.1563 1.55678 0.0830284 0 0.207571
34 10000.00 1360.37 95.833215 49.0901 0.595596 15.2034 0.494243 0 7.06239 13.3795 12.2373 1.56736 0.0835924 0 0.208981
37 4000.00 1341.32 98.188100 48.886 0.581312 14.8387 0.52059 0 7.08268 14.2126 11.9529 1.52977 0.0815876 0 0.203969
35 10000.00 1358.37 95.513702 49.1183 0.597588 15.2542 0.494652 0 7.05585 13.2628 12.2767 1.5726 0.0838721 0 0.20968
38 4000.00 1339.33 97.838664 48.9152 0.583388 14.8917 0.521156 0 7.0779 14.0906 11.9937 1.53523 0.081879 0 0.204697
42 1000.00 1320.57 97.827988 48.9148 0.583451 14.8934 0.540243 0 7.06447 14.0837 11.994 1.5354 0.0818879 0 0.20472
38 7000.00 1344.56 95.831842 49.089 0.595605 15.2036 0.507934 0 7.05484 13.3762 12.2357 1.56738 0.0835936 0 0.208984
36 10000.00 1356.37 95.198160 49.1464 0.599569 15.3048 0.495054 0 7.04919 13.1467 12.316 1.57781 0.0841501 0 0.210375
43 1000.00 1318.57 97.481182 48.9439 0.585527 14.9464 0.540884 0 7.0601 13.9613 12.0346 1.54086 0.0821793 0 0.205448
39 4000.00 1337.33 97.493782 48.9443 0.585452 14.9444 0.521713 0 7.07297 13.9693 12.0343 1.54066 0.0821686 0 0.205422
39 7000.00 1342.55 95.511787 49.1172 0.5976 15.2545 0.508386 0 7.04864 13.2591 12.2751 1.57263 0.0838737 0 0.209684
40 4000.00 1335.34 97.153360 48.9733 0.587503 14.9968 0.522262 0 7.0679 13.8487 12.0746 1.54606 0.0824566 0 0.206141
37 10000.00 1354.37 94.886515 49.1743 0.601538 15.3551 0.495449 0 7.0424 13.0314 12.355 1.583 0.0844264 0 0.211066
40 7000.00 1340.55 95.195707 49.1453 0.599585 15.3052 0.508831 0 7.04231 13.1427 12.3143 1.57785 0.0841522 0 0.210381
44 1000.00 1316.57 97.138901 48.9729 0.58759 14.999 0.541517 0 7.05559 13.8396 12.075 1.54629 0.0824688 0 0.206172
38 10000.00 1352.36 94.578698 49.202 0.603496 15.405 0.495836 0 7.03549 12.9168 12.3938 1.58815 0.0847012 0 0.211753
41 7000.00 1338.55 94.883529 49.1732 0.601557 15.3555 0.509269 0 7.03586 13.027 12.3533 1.58305 0.0844291 0 0.211073
45 1000.00 1314.56 96.801052 49.0017 0.589641 15.0514 0.542141 0 7.05093 13.7187 12.1152 1.55169 0.0827567 0 0.206892
41 4000.00 1333.34 96.817305 49.002 0.589542 15.0488 0.522804 0 7.0627 13.7287 12.1147 1.55143 0.0827428 0 0.206857
39 10000.00 1350.36 94.274641 49.2296 0.605443 15.4547 0.496217 0 7.02846 12.8028 12.4324 1.59327 0.0849744 0 0.212436
42 7000.00 1336.54 94.575182 49.2009 0.603519 15.4056 0.509699 0 7.02928 12.912 12.392 1.58821 0.0847044 0 0.211761
46 1000.00 1312.56 96.467542 49.0304 0.59168 15.1034 0.542757 0 7.04613 13.5984 12.1551 1.55705 0.0830428 0 0.207607
43 7000.00 1334.54 94.270600 49.2285 0.605469 15.4554 0.510123 0 7.02258 12.7976 12.4305 1.59334 0.084978 0 0.212445
40 10000.00 1348.36 93.974280 49.2571 0.607378 15.5041 0.496591 0 7.02131 12.6896 12.4707 1.59836 0.085246 0 0.213115
